Date,Symbol,Company Name,Split Ratio
07/11/2024,AMWL,Amwell,1:20
07/08/2024,EFSH,1847 Holdings LLC,1:13
07/03/2024,NUTX,Nutex Health Inc,1:10
07/03/2024,MDRR,"Medalist Diversified REIT, Inc",1:2
07/03/2024,ASLN,ASLAN Pharmaceuticals Limited,1:8
07/03/2024,JZXN,"Jiuzi Holdings, Inc",1:13
07/02/2024,ASST,Asset Entities Inc,1:5
07/01/2024,YGMZ,MingZhu Logistics Holdings Limited,1:8
07/01/2024,BURU,"Nuburu, Inc",1:40
07/01/2024,KORE,"KORE Group Holdings, Inc",1:5
07/01/2024,DARE,"Dare Bioscience, Inc",1:12
07/01/2024,JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares ETF,1:10
07/01/2024,RELI,"Reliance Global Group, Inc",1:17
07/01/2024,AZTR,"Azitra, Inc",1:30
07/01/2024,MYBUF,Meyer Burger Technology AG,1:750
06/28/2024,ESHSF,Eddy Smart Home Solns,1:100
06/28/2024,SPEYF,Spey Resources Corp,1:10
06/28/2024,NUWE,"Nuwellis, Inc",1:35
06/28/2024,WHLR,"Wheeler Real Estate Investment Trust, Inc",1:5
06/27/2024,YYAI,Connexa Sports Technologies Inc,1:20
06/27/2024,RIGL,"Rigel Pharmaceuticals, Inc",1:10
06/26/2024,STAF,"Staffing 360 Solutions, Inc",1:10
06/26/2024,OMIC,"Singular Genomics Systems, Inc",1:30
06/25/2024,CRKN,Crown Electrokinetics Corp,1:150
06/25/2024,NKLA,Nikola Corporation,1:30
06/24/2024,SABA,Saba Capital Income & Opportunities Fund II,1:2
06/24/2024,CHMJF,Chemistree Technology Inc,1:10
06/21/2024,AVRO,"AVROBIO, Inc",1:12
06/21/2024,QLI,Qilian International Holding Group,1:5
06/20/2024,BJDX,"Bluejay Diagnostics, Inc",1:8
06/20/2024,ATRA,Atara Biotherapeutics,1:25
06/20/2024,UREKF,Eureka Lithium Corp,1:10
06/18/2024,RGXTF,Regenx Tech Corp,1:2
06/18/2024,VSME,VS Media Holdings Limited,1:7
06/18/2024,CGUSY,"Casino, Guichard-Perrachon S.A.",1:100
06/18/2024,GRI,"GRI Bio, Inc",1:13
06/18/2024,FORD,"Forward Industries, Inc",1:10
06/17/2024,SPCE,"Virgin Galactic Holdings, Inc",1:20
06/17/2024,CLIP,Global X 1-3 Month T-Bill ETF,1:4
06/17/2024,FNCNF,Fincantieri S.p.A.,1:10
06/17/2024,CATX,"Perspective Therapeutics, Inc",1:10
06/17/2024,HYDR,Global X Hydrogen ETF,1:5
06/17/2024,WKHS,Workhorse Group Inc,1:20
06/17/2024,SLRX,Salarius Pharmaceuticals,1:8
06/17/2024,STRR,Star Equity Holdings,1:5
06/14/2024,KRYXF,Koryx Copper Inc,1:5
06/14/2024,TRNR,Interactive Strength Inc,1:40
06/14/2024,CGUIF,"Casino, Guichard-Perrachon",1:100
06/14/2024,TWOU,"2U, Inc",1:30
06/13/2024,VLD,"Velo3D, Inc",1:35
06/13/2024,DDNFF,Adamera Minerals Corp,1:10
06/13/2024,RBOT,Vicarious Surgical,1:30
06/13/2024,NAAS,NaaS Technology Inc,1:20
06/12/2024,BNED,Barnes & Noble Education,1:100
06/12/2024,PEGY,Pineapple Energy,1:15
06/11/2024,DM,"Desktop Metal, Inc",1:10
06/11/2024,KPRX,"Kiora Pharmaceuticals, Inc",1:9
06/11/2024,RTMFF,RT Minerals Corp,1:14
06/10/2024,ICU,SeaStar Medical Holding,1:25
06/10/2024,CRNCY,Capricorn Energy,62:79
06/10/2024,RTC,Baijiayun Group Ltd,1:5
06/10/2024,NICH,Nitches Inc,1:60000
06/10/2024,TNXP,Tonix Pharmaceuticals,1:32
06/10/2024,CHYPF,Health Logic Interactive,1:4
06/07/2024,CEAD,CEA Industries Inc,1:12
06/07/2024,ALDVF,Kiplin Metals Inc,1:6
06/07/2024,SSKN,"STRATA Skin Sciences, Inc",1:10
06/07/2024,VLCN,"Volcon, Inc",1:100
06/07/2024,BTCWF,Bluesky Digital Assets Corp,1:7
06/06/2024,CICN,SMS Alternatives Inc,1:1500
06/06/2024,PNTZF,Trigon Metals Inc,1:5
06/06/2024,SSNT,"SilverSun Technologies, Inc",1:8
06/06/2024,SNGX,"Soligenix, Inc",1:16
